WP,AVG,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HPB,SO,GDP,SLG,OBP,OPS,SB,CS,ERA,SV,HLD,IP,H/p,HR/p,BB/p,HBP,SO/p,R,ER,WHIP,E,PO,Ass,DP,FPCT,PB,SB/f,CS/f,CS%
0.606,0.279,5687,4881,767,1364,227,27,93,1924,714,94,55,583,16,73,804,89,0.394,0.361,0.755,166,101,3.67,37,92,1293.1,1266,74,491,76,977,610,527,1.36,121,3825,1204,131,97.7,10,115,30,20.7
0.56,0.265,5649,4973,672,1316,235,14,89,1846,621,57,47,524,13,48,1074,96,0.371,0.338,0.709,87,30,3.94,39,61,1287,1326,83,413,50,968,616,564,1.35,80,3805,1242,117,98.4,3,111,23,17.2
0.539,0.26,5630,4923,658,1279,229,16,125,1915,611,77,45,507,21,78,943,89,0.389,0.336,0.725,96,28,4.37,46,71,1288.1,1354,104,612,67,974,698,626,1.53,108,3833,1386,163,98,11,127,56,30.6
0.528,0.27,5606,4895,679,1321,223,28,98,1894,642,63,55,493,10,100,1005,122,0.387,0.345,0.732,111,46,3.83,33,88,1281.1,1160,99,513,62,1090,617,545,1.31,111,3802,1211,126,97.8,7,96,42,30.4
0.521,0.255,5538,4859,620,1238,210,32,100,1812,565,57,41,505,25,76,975,90,0.373,0.332,0.705,133,48,3.92,41,70,1284.2,1245,90,501,82,1013,625,560,1.36,102,3815,1202,108,98,12,60,40,40
0.514,0.276,5607,4954,726,1365,224,21,101,1934,673,63,44,500,15,46,957,115,0.39,0.345,0.735,122,34,4.13,33,66,1269,1244,89,564,59,980,650,583,1.42,91,3763,1213,137,98.2,12,98,35,26.3
0.472,0.265,5576,4871,653,1289,231,19,69,1765,608,75,57,522,18,51,1000,110,0.362,0.338,0.7,101,42,4.15,35,82,1272.1,1328,80,532,82,1070,660,586,1.46,94,3775,1205,111,98.1,13,91,46,33.6
0.427,0.263,5581,4912,636,1290,208,23,88,1808,603,77,43,487,15,62,954,114,0.368,0.334,0.702,103,35,4.6,38,69,1278.1,1414,120,464,52,899,728,654,1.47,93,3781,1257,111,98.2,6,86,32,27.1
0.42,0.241,5628,4906,604,1184,211,12,100,1719,568,59,40,535,21,88,1162,103,0.35,0.324,0.674,67,22,4.38,20,68,1291.2,1292,101,518,103,1037,708,628,1.4,96,3842,1247,106,98.1,10,94,48,33.8
0.411,0.261,5729,5062,607,1323,223,30,61,1789,576,51,58,484,21,74,1096,87,0.353,0.331,0.684,54,11,4.42,33,61,1288.1,1340,84,532,63,962,710,632,1.45,110,3835,1335,125,97.9,9,129,45,25.9
0.629,0.254,5642,4893,720,1245,242,18,138,1937,682,77,47,530,22,95,1075,96,0.396,0.336,0.732,98,39,3.87,45,68,1301.1,1223,130,457,65,1023,622,560,1.29,97,3853,1333,138,98.2,4,107,31,22.5
0.613,0.269,5627,4927,715,1325,208,33,118,1953,674,49,46,501,18,103,924,109,0.396,0.346,0.742,102,46,3.33,43,107,1288,1179,94,451,59,1031,521,476,1.27,80,3837,1299,139,98.5,7,113,26,18.7
0.563,0.252,5655,4953,621,1250,203,33,94,1801,578,49,34,527,26,92,1032,89,0.364,0.333,0.697,63,20,3.79,48,84,1296.1,1247,96,490,70,1010,610,546,1.34,113,3841,1450,134,97.9,7,85,42,33.1
0.563,0.254,5547,4864,631,1237,192,19,119,1824,588,70,44,519,21,49,1183,105,0.375,0.33,0.705,89,34,3.51,37,65,1287.1,1243,92,364,63,1074,562,502,1.25,89,3824,1341,132,98.3,8,69,26,27.4
0.49,0.272,5703,5000,720,1361,250,19,113,1988,677,61,36,542,21,63,983,111,0.398,0.349,0.747,103,34,4.2,38,74,1279.2,1286,120,526,67,1042,679,597,1.42,91,3801,1223,111,98.2,8,64,41,39
0.465,0.257,5585,4899,646,1260,230,15,105,1835,613,50,47,501,24,88,981,112,0.375,0.334,0.709,100,39,3.9,25,54,1286.2,1230,111,515,98,1168,642,557,1.36,111,3816,1265,115,97.9,9,60,42,41.2
0.465,0.27,5647,5023,663,1358,241,19,103,1946,627,83,41,446,28,54,1029,119,0.387,0.334,0.721,91,27,4.29,34,71,1287,1370,129,478,66,971,695,613,1.44,110,3778,1291,125,97.9,6,51,35,40.7
0.457,0.267,5534,4948,605,1320,227,16,106,1897,570,73,42,417,19,54,991,127,0.383,0.328,0.711,61,39,4.45,34,69,1280.2,1373,84,492,80,1199,712,633,1.46,103,3778,1277,124,98,11,99,39,28.3
0.423,0.255,5510,4891,638,1249,210,12,101,1786,592,53,45,450,16,71,1007,116,0.365,0.324,0.689,90,40,4.45,32,68,1279.1,1336,117,555,70,977,721,632,1.48,108,3802,1312,128,97.9,13,95,34,26.4
0.324,0.245,5513,4878,564,1196,217,19,88,1715,520,45,40,497,13,52,1264,92,0.352,0.319,0.671,93,49,4.83,25,81,1268.1,1314,112,602,83,974,759,680,1.51,121,3759,1309,111,97.7,8,121,51,29.7
0.563,0.265,5627,4810,719,1276,219,11,106,1835,673,69,44,645,27,58,1047,105,0.381,0.356,0.737,112,46,3.67,33,74,1264,1176,86,489,42,1062,584,515,1.32,104,3752,1401,133,98,7,93,31,25
0.563,0.267,5552,4836,712,1292,204,18,133,1931,669,48,68,545,21,55,902,98,0.399,0.344,0.743,116,44,4.3,46,80,1259,1297,131,530,51,1038,658,601,1.45,83,3728,1209,130,98.3,5,61,26,29.9
0.554,0.25,5533,4750,654,1188,210,11,110,1750,621,52,45,592,16,94,926,102,0.368,0.342,0.71,92,34,3.57,32,81,1272.1,1126,80,545,98,1068,561,505,1.31,79,3764,1364,147,98.5,12,98,40,29
0.522,0.268,5645,4900,738,1314,235,17,110,1913,698,46,53,560,13,86,943,137,0.39,0.35,0.74,81,37,4.26,28,61,1269.1,1295,104,587,73,1045,656,601,1.48,83,3785,1247,120,98.4,10,83,48,36.6
0.511,0.259,5653,4874,722,1262,244,28,91,1835,671,35,56,595,17,93,1053,93,0.376,0.347,0.723,97,26,4.31,30,56,1263.1,1281,101,566,80,900,700,605,1.46,118,3731,1422,152,97.8,5,85,35,29.2
0.508,0.261,5736,4899,755,1278,204,13,185,2063,712,55,52,636,23,94,1056,106,0.421,0.353,0.774,100,43,4.82,25,56,1276.2,1296,149,629,78,1012,741,684,1.51,98,3799,1321,123,98.1,12,105,46,30.5
0.496,0.261,5532,4808,702,1254,203,17,170,2001,670,59,43,511,14,111,1093,94,0.416,0.343,0.759,101,46,4.54,33,80,1256.2,1268,125,592,77,1055,697,634,1.48,106,3736,1218,105,97.9,5,84,40,32.3
0.478,0.278,5726,5009,727,1393,266,10,107,2000,697,38,46,579,19,54,969,114,0.399,0.356,0.755,60,31,5.37,37,76,1271,1333,133,658,88,1054,808,758,1.57,81,3771,1284,123,98.4,8,101,44,30.3
0.433,0.248,5577,4831,568,1198,183,21,66,1621,546,41,37,595,16,73,921,119,0.336,0.337,0.673,73,31,4.89,36,94,1269,1286,134,622,104,951,752,690,1.5,100,3762,1243,139,98,10,92,43,31.9
0.371,0.237,5495,4685,599,1111,213,17,80,1598,554,54,49,633,14,74,1286,110,0.341,0.334,0.675,109,56,4.65,21,62,1258.2,1208,115,673,101,1011,739,650,1.49,112,3731,1186,121,97.8,7,111,41,27
0.601,0.291,5833,5102,888,1483,258,28,187,2358,845,46,51,529,21,104,997,106,0.462,0.366,0.828,101,38,4.58,31,88,1296.2,1292,153,547,79,1049,714,660,1.42,80,3843,1198,120,98.4,10,49,42,46.2
0.566,0.284,5762,5047,813,1432,238,21,163,2201,767,64,45,554,20,52,1097,104,0.436,0.358,0.794,106,50,4.54,33,71,1290.1,1357,118,523,59,848,715,651,1.46,97,3845,1426,154,98.2,10,75,21,21.9
0.564,0.277,5681,4999,802,1384,253,29,149,2142,760,49,49,509,21,75,969,115,0.428,0.349,0.777,83,39,4.37,29,67,1292.2,1344,123,493,86,1019,694,627,1.42,78,3836,1390,156,98.5,9,89,36,28.8
0.564,0.293,5776,5046,816,1477,263,20,125,2155,778,38,73,551,20,68,796,132,0.427,0.365,0.792,88,37,4.31,23,45,1285.2,1395,109,478,61,1046,695,616,1.46,81,3838,1218,126,98.4,6,91,25,21.6
0.559,0.269,5721,4945,759,1332,254,25,127,2017,713,43,52,608,16,73,1030,107,0.408,0.355,0.763,113,27,4.39,42,81,1280.1,1336,126,446,73,950,692,624,1.39,105,3796,1419,143,98,8,87,39,31
0.507,0.274,5642,4937,724,1355,224,13,130,1995,692,63,38,535,10,69,957,114,0.404,0.351,0.755,47,25,5.13,33,79,1270,1399,120,559,70,1038,795,724,1.54,86,3776,1397,169,98.4,10,82,46,35.9
0.497,0.276,5669,4958,750,1366,252,6,131,2023,711,39,48,569,18,55,875,148,0.408,0.353,0.761,90,31,4.64,25,59,1277.1,1351,143,447,58,1002,720,659,1.41,86,3802,1352,124,98.4,7,95,28,22.8
0.46,0.268,5574,4923,699,1317,211,12,129,1939,658,50,53,486,10,62,990,117,0.394,0.338,0.732,132,49,4.78,25,80,1272.1,1330,151,542,67,931,745,676,1.47,91,3773,1191,126,98.2,6,57,38,40
0.357,0.25,5502,4839,634,1212,177,17,143,1852,595,49,34,511,18,69,981,112,0.383,0.329,0.712,81,45,5.57,20,53,1259.1,1343,162,670,84,953,846,780,1.6,94,3761,1259,139,98.2,6,129,57,30.6
0.326,0.245,5483,4862,551,1189,195,12,79,1645,523,45,25,462,9,89,1163,119,0.338,0.32,0.658,51,36,5.28,21,54,1265,1400,158,609,79,1019,820,742,1.59,87,3736,1149,133,98.3,10,120,45,27.3
0.615,0.278,5670,4913,736,1364,235,31,84,1913,691,39,83,563,16,72,799,117,0.389,0.355,0.744,102,38,3.51,44,69,1283.2,1259,78,380,70,860,550,500,1.28,74,3813,1345,131,98.6,6,96,32,25
0.615,0.262,5542,4919,655,1290,218,14,117,1887,622,35,38,462,20,87,966,92,0.384,0.334,0.718,118,50,3.48,51,92,1292.1,1240,99,436,50,1092,546,500,1.3,79,3848,1255,131,98.5,3,105,31,22.8
0.601,0.282,5658,4991,780,1405,251,38,112,2068,741,36,48,514,13,69,943,122,0.414,0.354,0.768,110,33,3.61,39,91,1279,1293,61,371,58,984,572,513,1.3,87,3767,1347,128,98.3,6,92,46,33.3
0.552,0.267,5536,4928,641,1316,233,15,94,1861,604,49,48,434,17,77,962,117,0.378,0.333,0.711,108,47,4.01,32,68,1284.1,1285,103,483,92,991,631,572,1.38,76,3788,1414,139,98.6,7,115,41,26.3
0.514,0.278,5631,4968,674,1383,249,26,128,2068,639,64,60,456,14,83,880,126,0.416,0.345,0.761,87,45,3.86,43,62,1283.1,1257,89,499,91,953,633,551,1.37,88,3807,1396,130,98.3,4,64,49,43.4
